time,ux,uz
0.0,0.0,0.0
0.002004008016032064,0.0,0.0
0.004008016032064128,0.0,0.0
0.0060120240480961915,0.0,0.0
0.008016032064128256,0.0,0.0
0.01002004008016032,0.0,0.0
0.012024048096192383,0.0,0.0
0.014028056112224447,0.0,0.0
0.01603206412825651,0.0,0.0
0.018036072144288574,0.0,0.0
0.02004008016032064,0.0,0.0
0.022044088176352703,0.0,0.0
0.024048096192384766,0.0,0.0
0.026052104208416832,0.0,0.0
0.028056112224448895,0.0,0.0
0.03006012024048096,0.0,0.0
0.03206412825651302,0.0,0.0
0.03406813627254509,0.0,0.0
0.03607214428857715,0.0,0.0
0.038076152304609215,0.0,0.0
0.04008016032064128,0.0,0.0
0.04208416833667334,0.0,0.0
0.044088176352705406,0.0,0.0
0.04609218436873747,0.0,0.0
0.04809619238476953,0.0,0.0
0.0501002004008016,0.0,0.0
0.052104208416833664,0.0,0.0
0.05410821643286573,0.0,0.0
0.05611222444889779,0.0,0.0
0.058116232464929855,0.0,0.0
0.06012024048096192,0.0,0.0
0.06212424849699398,0.0,0.0
0.06412825651302605,0.0,0.0
0.06613226452905811,0.0,0.0
0.06813627254509018,0.0,0.0
0.07014028056112225,0.0,0.0
0.0721442885771543,0.0,0.0
0.07414829659318636,0.0,0.0
0.07615230460921843,0.0,0.0
0.0781563126252505,0.0,0.0
0.08016032064128256,0.0,0.0
0.08216432865731463,0.0,0.0
0.08416833667334668,0.0,0.0
0.08617234468937875,0.0,0.0
0.08817635270541081,0.0,0.0
0.09018036072144288,0.0,0.0
0.09218436873747494,0.0,0.0
0.09418837675350701,0.0,0.0
0.09619238476953906,0.0,0.0
0.09819639278557113,0.0,0.0
0.1002004008016032,0.0,0.0
0.10220440881763526,0.0,0.0
0.10420841683366733,0.0,0.0
0.1062124248496994,0.0,0.0
0.10821643286573146,0.0,0.0
0.11022044088176351,0.0,0.0
0.11222444889779558,0.0,0.0
0.11422845691382764,0.0,0.0
0.11623246492985971,0.0,0.0
0.11823647294589178,0.0,0.0
0.12024048096192384,0.0,0.0
0.1222444889779559,0.0,0.0
0.12424849699398796,0.0,0.0
0.12625250501002003,0.0,0.0
0.1282565130260521,0.0,0.0
0.13026052104208416,0.0,0.0
0.13226452905811623,0.0,0.0
0.1342685370741483,0.0,0.0
0.13627254509018036,0.0,0.0
0.13827655310621242,0.0,0.0
0.1402805611222445,0.0,0.0
0.14228456913827653,0.0,0.0
0.1442885771543086,0.0,0.0
0.14629258517034066,0.0,0.0
0.14829659318637273,0.0,0.0
0.1503006012024048,0.0,0.0
0.15230460921843686,0.0,0.0
0.15430861723446893,0.0,0.0
0.156312625250501,0.0,0.0
0.15831663326653306,0.0,0.0
0.16032064128256512,0.0,0.0
0.1623246492985972,0.0,0.0
0.16432865731462926,0.0,0.0
0.16633266533066132,0.0,0.0
0.16833667334669336,0.0,0.0
0.17034068136272543,0.0,0.0
0.1723446893787575,0.0,0.0
0.17434869739478956,0.0,0.0
0.17635270541082163,0.0,0.0
0.1783567134268537,0.0,0.0
0.18036072144288576,0.0,0.0
0.18236472945891782,0.0,0.0
0.1843687374749499,0.0,0.0
0.18637274549098196,0.0,0.0
0.18837675350701402,0.0,0.0
0.1903807615230461,0.0,0.0
0.19238476953907813,0.0,0.0
0.1943887775551102,0.0,0.0
0.19639278557114226,0.0,0.0
0.19839679358717432,0.0,0.0
0.2004008016032064,5.729892509102182e-08,-2.01509324741133e-08
0.20240480961923846,6.499304308321292e-07,-2.2279972647306716e-07
0.20440881763527052,1.3041789878131193e-06,-4.3650837843837484e-07
0.2064128256513026,1.9060027429880043e-06,-6.236379133390853e-07
0.20841683366733466,2.439228737648739e-06,-7.810657061507459e-07
0.21042084168336672,2.9062533763449282e-06,-9.116244964246704e-07
0.2124248496993988,3.31368084556039e-06,-1.0191562469220242e-06
0.21442885771543085,3.6685913546928667e-06,-1.1072875141174676e-06
0.21643286573146292,3.9774589187050625e-06,-1.1791727470713625e-06
0.21843687374749496,4.245933059416831e-06,-1.2374780583855968e-06
